# grok sweep (dgx)
# requested window: last 24 hours
# written:  2026-09-24T16:42:32Z  (local: 2026-09-24 12:42:32 EDT)
# query:    Search X for posts and replies from @MiaAI_lab, @0xSero, @sfxnz, @bleysg, @Brooooook_lyn, @jimmycheng722, @shantanugoel, @0xBakeer, @ksuniri, @MarkusEicher70, @NVIDIAAIDev, @NVIDIADeveloper, and also any posts, in the last 24 hours, about running LLMs on NVIDIA DGX Spark or GB10 (one or two Sparks clustered): new serving recipes, vLLM / SGLang / TensorRT-LLM results, NVFP4/FP8/EXL3 quants, coding-agent models, and tok/s or throughput numbers. Output ONE bullet per post and nothing else -- no preamble, no summary: - <UTC timestamp> | @handle | <post URL> | <the claim in one sentence> Omit any item without both a URL and a UTC timestamp. If nothing matches, output exactly: NO RESULTS

I'll search X for those accounts and for DGX Spark / GB10 LLM posts from the last 24 hours.The first pass only covered part of those accounts and the Spark thread; I'll page further and pull the missing handles.I’ll pull the missing named accounts and the main Spark serving threads next.- 2026-09-24 16:17:14 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2103156817568112682 | Cheapest non-US DGX Spark deal is a 1TB unit that only appeared a few hours ago.
- 2026-09-24 16:12:00 UTC | @sudoingX | https://x.com/sudoingX/status/2103155498975424941 | Official FP8 Qwen 3.8 Flash Next 180B has been running on a 2× DGX Spark desk cluster for two weeks, with an NVFP4 speed update still waiting on home Wi-Fi.
- 2026-09-24 16:04:09 UTC | @sfxnz | https://x.com/sfxnz/status/2103153523235983609 | The 54.5 tok/s DeepSeek v4.1 Flash 2× Spark figure is structured decode at concurrency 1.
- 2026-09-24 16:01:05 UTC | @sabrepc | https://x.com/sabrepc/status/2103152752406700140 | A GPU guide compares Blackwell RTX PRO 4500/5000/6000 vs DGX Spark VRAM, bandwidth, and MIG for local 7B–200B LLMs.
- 2026-09-24 15:58:35 UTC | @qubitium | https://x.com/qubitium/status/2103152122120577091 | M5 Ultra BF16 TFLOPS are almost the same as GB10 Spark, and MLX still has no hardware-scaled FP8, so FP4/FP8 still means W4A16/W8A16.
- 2026-09-24 15:37:13 UTC | @somewheresy | https://x.com/somewheresy/status/2103146744230101469 | DGX Spark is a strong all-rounder for async workers, but not the fastest box when raw LLM tok/s is the goal.
- 2026-09-24 15:36:46 UTC | @sfxnz | https://x.com/sfxnz/status/2103146634104168756 | Further speed improvements are coming to the 2× DGX Spark DeepSeek v4.1 Flash serve.
- 2026-09-24 15:34:38 UTC | @AronMakesCrafts | https://x.com/AronMakesCrafts/status/2103146097321402873 | MiaAI_lab’s Qwen3.8-Flash-Next single-Spark vLLM+MTP (k=3) FP8-KV recipe hit 65.5 tok/s single-stream, 265.7 tok/s aggregate at 6 streams, and ~2.4k tok/s prefill at 174K context.
- 2026-09-24 15:03:35 UTC | @abhi43210 | https://x.com/abhi43210/status/2103138283551154267 | Spark-s1-v6 is on JevBench with an NVFP4 build meant to run on DGX Spark.
- 2026-09-24 15:03:18 UTC | @0xTobiasDev | https://x.com/0xTobiasDev/status/2103138211157479658 | Daily-driving DeepSeek Flash on vLLM on a DGX Spark now feels like a real local-AI workstation.
- 2026-09-24 15:02:09 UTC | @sudoingX | https://x.com/sudoingX/status/2103137921020957054 | Official FP8 Qwen 3.8 Flash Next 180B MoE on 2× DGX Spark TP (256 GB) ran 45 tok/s fresh and 35 tok/s mid-build with MTP while a Hermes agent built a Three.js game.
- 2026-09-24 14:45:03 UTC | @sfxnz | https://x.com/sfxnz/status/2103133615848669330 | Prefers DeepSeek over the alternative on the 2× DGX Spark setup.
- 2026-09-24 14:29:45 UTC | @0xBakeer | https://x.com/0xBakeer/status/2103129769017799092 | Asks whether the 45 tok/s 2× Spark Qwen figure still holds with vision loaded.
- 2026-09-24 14:23:29 UTC | @sfxnz | https://x.com/sfxnz/status/2103128189191024748 | DeepSeek v4.1 Flash is decoding at 54.5 tok/s on 2× DGX Sparks, with huge improvements expected soon.
- 2026-09-24 14:12:28 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2103125417943236779 | Credits @majewskizby and posts the full number sheet for the 3× Spark DeepSeek v4.1 Flash speed update.
- 2026-09-24 14:10:56 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2103125034189422614 | Updated DeepSeek v4.1 Flash on 3× DGX Sparks: +17% prose, +39% code, +29% mixed decode, now 50+ tok/s single-stream and 85 tok/s at 4 concurrent streams.
- 2026-09-24 13:58:27 UTC | @qubitium | https://x.com/qubitium/status/2103121891389272211 | GB10 Spark is the missing piece for real hardware FP4/FP8 work versus last-gen Strix Halo RDNA.
- 2026-09-24 13:01:33 UTC | @myersjeff | https://x.com/myersjeff/status/2103107572932714928 | Two DGX Sparks plus one cable yield 256 GB unified memory, 70B models, and 24/7 vLLM.
- 2026-09-24 12:56:12 UTC | @johncodes | https://x.com/johncodes/status/2103106223646048689 | After weeks on a 2× DGX Spark stack, daily-driving MiaAI_lab’s DeepSeek v4.1-Flash quant/vLLM runbook with the local `dsh` harness is a 10/10 despite NCCL/playbook friction.
- 2026-09-24 12:00:03 UTC | @sudoingX | https://x.com/sudoingX/status/2103092093698678965 | 2× DGX Spark with 256 GB running Qwen 3.8 Flash Next FP8 at 256k context holds 45 tok/s sustained with MTP and a Hermes agent.
- 2026-09-24 11:11:15 UTC | @grok | https://x.com/grok/status/2103079814550761943 | RTX Spark N1X matches DGX Spark GB10 (20-core Grace, 6144 CUDA cores, up to 128 GB, 1 PFLOP FP4) for ~200B inference, but lacks ConnectX clustering.
- 2026-09-24 10:34:30 UTC | @0xSero | https://x.com/0xSero/status/2103070564965314871 | Qwen3.8-27B 4-bit on one Intel Arc B70 does 66–91 tok/s single-stream decode and 350–365 tok/s at 16 concurrent streams with 262k context.
- 2026-09-24 10:33:04 UTC | @ksuniri | https://x.com/ksuniri/status/2103070202242138291 | Plans to add one more DGX Spark to the cluster after MiaAI_lab’s 3× Spark DeepSeek v4.1 Flash update.
- 2026-09-24 10:32:25 UTC | @ksuniri | https://x.com/ksuniri/status/2103070041931685985 | Reaching 512 GB is better served by adding two more DGX Sparks.
- 2026-09-24 10:26:57 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2103068664165474374 | Posts what is now the lowest price for a new DGX Spark.
- 2026-09-24 10:13:57 UTC | @grok | https://x.com/grok/status/2103065393950585211 | Mia EXL3 GLM-5.3 Flash on 2× DGX Spark is ~5–10% ahead of full Qwen3.8 Flash Next on benches, with similar 30–60 tok/s single-stream and ~150 tok/s aggregate.
- 2026-09-24 08:42:58 UTC | @leowuqayxj1140 | https://x.com/leowuqayxj1140/status/2103042497220112678 | Qwen-family speed gaps versus Spark are engine/hardware (vLLM NVFP4 on DGX Spark vs Halogen on Strix Halo), not just quantization.
- 2026-09-24 08:12:02 UTC | @0xSero | https://x.com/0xSero/status/2103034710259597431 | EXL3 is NVFP4-equivalent at 3.5 bits.
- 2026-09-24 07:42:23 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2103027248857219397 | A big DeepSeek v4.1 Flash performance update for 3× DGX Sparks is dropping today.
- 2026-09-24 07:32:38 UTC | @xuelin_li | https://x.com/xuelin_li/status/2103024795034280100 | Hit 40 tok/s on a DGX Spark with Qwen3.6 35B.
- 2026-09-24 07:25:43 UTC | @grok | https://x.com/grok/status/2103023054943043836 | Mid-Sep community recipes run ~180B Qwen3.8-Flash-Next on one DGX Spark with NVFP4 + MTP/speculative decoding + PLE offload.
- 2026-09-24 06:24:03 UTC | @Authentic1ty | https://x.com/Authentic1ty/status/2103007536852983852 | On Spark, native NVFP4 should beat 4-bit EXL3, especially on prefill.
